Destination,Category,Description,Best_Time_to_Visit,Duration,Activities
Ooty,Hill Stations,"Queen of Hill Stations, famous for tea gardens, Nilgiri Mountain Railway, botanical gardens",Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
Kodaikanal,Hill Stations,"Princess of Hill Stations, known for lakes, valleys, misty mountains and cool climate",Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
Coonoor,Hill Stations,"Charming hill station with tea plantations, Sim's Park, Lamb's Rock",Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
Yercaud,Hill Stations,"Hill station in Shevaroy Hills, famous for coffee plantations and Yercaud Lake",Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
Kotagiri,Hill Stations,"Peaceful hill station with tea gardens, Catherine Falls, Elk Falls",Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
Yelagiri,Hill Stations,"Hill station perfect for trekking, paragliding, and adventure sports",Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
Madurai Meenakshi Temple,Temples & Heritage,Ancient temple dedicated to Goddess Meenakshi with stunning Dravidian architecture,Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Rameshwaram Temple,Temples & Heritage,"Sacred Jyotirlinga temple, one of the Char Dhams, longest temple corridor in world",Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Thanjavur Brihadeeswarar Temple,Temples & Heritage,"UNESCO World Heritage Site, architectural marvel of Chola dynasty",Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Kanchipuram Temples,Temples & Heritage,"City of Thousand Temples, famous for Kamakshi Temple and silk sarees",Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Chidambaram Nataraja Temple,Temples & Heritage,"Famous for cosmic dance of Lord Shiva, one of Pancha Bhoota Stalas",Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Mahabalipuram,Temples & Heritage,UNESCO World Heritage Site with ancient rock-cut temples and Shore Temple,Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Marina Beach Chennai,Beaches,"Second longest urban beach in world, vibrant atmosphere, local street food",Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Kanyakumari Beach,Beaches,"Southernmost tip of India, confluence of three seas, stunning sunrises and sunsets",Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Mahabalipuram Beach,Beaches,"Historic beach with Shore Temple, rock sculptures, water sports",Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Covelong Beach,Beaches,"Perfect for surfing, windsurfing, and beach activities",Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Rameshwaram Beach,Beaches,"Sacred beaches with Agni Theertham, pilgrimage significance",Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Dhanushkodi Beach,Beaches,Ghost town beach with mystical charm and panoramic views,Oct-Mar,2-3 days,"Sightseeing, Photography, Cultural Tours"
Mudumalai National Park,Wildlife & Nature,"Tiger reserve with elephants, diverse wildlife, safari experiences",Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
Annamalai Tiger Reserve,Wildlife & Nature,"Western Ghats reserve with tigers, elephants, lion-tailed macaques",Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
Kalakkad Mundanthurai Tiger Reserve,Wildlife & Nature,"Part of Agasthyamalai Biosphere, rich biodiversity",Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
Sathyamangalam Tiger Reserve,Wildlife & Nature,"Largest wildlife sanctuary in Tamil Nadu, wildlife corridor",Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
Point Calimere Wildlife Sanctuary,Wildlife & Nature,Coastal sanctuary famous for migratory birds,Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
Guindy National Park,Wildlife & Nature,Urban national park in Chennai with blackbucks and spotted deer,Apr-Jun,2-3 days,"Sightseeing, Photography, Cultural Tours"
